UrlID,Url,Title,Matched segm,Matched Option,All options,Found,Attriubte
5096317,https://www.indemedical.com/Tranquility-Premium-OverNight-Disposable-Absorbent-Underwear_p_3449.html,bag dau xsm,bag dau xsm,XSmall  17 x 28 - Case of 88,"['Ordering Options', 'XSmall   17 x 28 - Pack of 22', 'Small  22 x 36 - Pack of 20', 'Medium  34 x 48 - Pack of 18', 'Large  44 x 54 - Pack of 16', 'XLarge  48 x 66 - Pack of 14', 'XXL-Plus  62 x 80 - Pack of 12', 'XSmall  17 x 28 - Case of 88', 'Small  22 x 36 - Case of 80', 'Medium  34 x 48 - Case of 72', 'Large  44 x 54 - Case of 64', 'XLarge  48 x 66 - Case of 56', 'XXL-Plus  62 x 80 - Case of 48']",TRUE,Type
5096320,https://www.indemedical.com/Tranquility-ATN-All-Through-the-Night-Disposable-Briefs_p_3448.html,premium absorbent xsm case underwear dau,premium absorbent xsm case underwear dau,X-large (56 x 64) Case of 72,"['Ordering Options', 'X-small (18 x 26) Pack of 10', 'Small (24 x 32) Pack of 10', 'Medium (32 x 44) Pack of 12', 'Large (45 x 58) Pack of 12', 'X-large (56 x 64) Pack of 12', 'X-small (18 x 26) Case of 100', 'Small (24 x 32) Case of 100', 'Medium (32 x 44) Case of 96', 'Large (45 x 58) Case of 96', 'X-large (56 x 64) Case of 72']",TRUE,Type
5096323,https://www.indemedical.com/Tranquility-Premium-OverNight-Disposable-Absorbent-Underwear_p_3449.html,sm bag dau,N/A,N/A,"['Ordering Options', 'XSmall   17 x 28 - Pack of 22', 'Small  22 x 36 - Pack of 20', 'Medium  34 x 48 - Pack of 18', 'Large  44 x 54 - Pack of 16', 'XLarge  48 x 66 - Pack of 14', 'XXL-Plus  62 x 80 - Pack of 12', 'XSmall  17 x 28 - Case of 88', 'Small  22 x 36 - Case of 80', 'Medium  34 x 48 - Case of 72', 'Large  44 x 54 - Case of 64', 'XLarge  48 x 66 - Case of 56', 'XXL-Plus  62 x 80 - Case of 48']",FALSE,Type
5096326,https://www.indemedical.com/Tranquility-Premium-OverNight-Disposable-Absorbent-Underwear_p_3449.html,sm dau case,sm dau case,XXL-Plus  62 x 80 - Case of 48,"['Ordering Options', 'XSmall   17 x 28 - Pack of 22', 'Small  22 x 36 - Pack of 20', 'Medium  34 x 48 - Pack of 18', 'Large  44 x 54 - Pack of 16', 'XLarge  48 x 66 - Pack of 14', 'XXL-Plus  62 x 80 - Pack of 12', 'XSmall  17 x 28 - Case of 88', 'Small  22 x 36 - Case of 80', 'Medium  34 x 48 - Case of 72', 'Large  44 x 54 - Case of 64', 'XLarge  48 x 66 - Case of 56', 'XXL-Plus  62 x 80 - Case of 48']",TRUE,Type
5096338,https://www.indemedical.com/Tranquility-Premium-OverNight-Disposable-Absorbent-Underwear_p_3449.html,bag med dau,bag med dau,Medium  34 x 48 - Case of 72,"['Ordering Options', 'XSmall   17 x 28 - Pack of 22', 'Small  22 x 36 - Pack of 20', 'Medium  34 x 48 - Pack of 18', 'Large  44 x 54 - Pack of 16', 'XLarge  48 x 66 - Pack of 14', 'XXL-Plus  62 x 80 - Pack of 12', 'XSmall  17 x 28 - Case of 88', 'Small  22 x 36 - Case of 80', 'Medium  34 x 48 - Case of 72', 'Large  44 x 54 - Case of 64', 'XLarge  48 x 66 - Case of 56', 'XXL-Plus  62 x 80 - Case of 48']",TRUE,Type
5096341,https://www.indemedical.com/Tranquility-Premium-OverNight-Disposable-Absorbent-Underwear_p_3449.html,med dau case,med dau case,XXL-Plus  62 x 80 - Case of 48,"['Ordering Options', 'XSmall   17 x 28 - Pack of 22', 'Small  22 x 36 - Pack of 20', 'Medium  34 x 48 - Pack of 18', 'Large  44 x 54 - Pack of 16', 'XLarge  48 x 66 - Pack of 14', 'XXL-Plus  62 x 80 - Pack of 12', 'XSmall  17 x 28 - Case of 88', 'Small  22 x 36 - Case of 80', 'Medium  34 x 48 - Case of 72', 'Large  44 x 54 - Case of 64', 'XLarge  48 x 66 - Case of 56', 'XXL-Plus  62 x 80 - Case of 48']",TRUE,Type
5109058,https://www.indemedical.com/Tranquility-Premium-OverNight-Disposable-Absorbent-Underwear_p_3449.html,lg bag dau,N/A,N/A,"['Ordering Options', 'XSmall   17 x 28 - Pack of 22', 'Small  22 x 36 - Pack of 20', 'Medium  34 x 48 - Pack of 18', 'Large  44 x 54 - Pack of 16', 'XLarge  48 x 66 - Pack of 14', 'XXL-Plus  62 x 80 - Pack of 12', 'XSmall  17 x 28 - Case of 88', 'Small  22 x 36 - Case of 80', 'Medium  34 x 48 - Case of 72', 'Large  44 x 54 - Case of 64', 'XLarge  48 x 66 - Case of 56', 'XXL-Plus  62 x 80 - Case of 48']",FALSE,Type
5109072,https://www.indemedical.com/Tranquility-Premium-OverNight-Disposable-Absorbent-Underwear_p_3449.html,lg dau case,lg dau case,XXL-Plus  62 x 80 - Case of 48,"['Ordering Options', 'XSmall   17 x 28 - Pack of 22', 'Small  22 x 36 - Pack of 20', 'Medium  34 x 48 - Pack of 18', 'Large  44 x 54 - Pack of 16', 'XLarge  48 x 66 - Pack of 14', 'XXL-Plus  62 x 80 - Pack of 12', 'XSmall  17 x 28 - Case of 88', 'Small  22 x 36 - Case of 80', 'Medium  34 x 48 - Case of 72', 'Large  44 x 54 - Case of 64', 'XLarge  48 x 66 - Case of 56', 'XXL-Plus  62 x 80 - Case of 48']",TRUE,Type
5148647,https://www.indemedical.com/Tranquility-Premium-OverNight-Disposable-Absorbent-Underwear_p_3449.html,xl dau case,xl dau case,XXL-Plus  62 x 80 - Case of 48,"['Ordering Options', 'XSmall   17 x 28 - Pack of 22', 'Small  22 x 36 - Pack of 20', 'Medium  34 x 48 - Pack of 18', 'Large  44 x 54 - Pack of 16', 'XLarge  48 x 66 - Pack of 14', 'XXL-Plus  62 x 80 - Pack of 12', 'XSmall  17 x 28 - Case of 88', 'Small  22 x 36 - Case of 80', 'Medium  34 x 48 - Case of 72', 'Large  44 x 54 - Case of 64', 'XLarge  48 x 66 - Case of 56', 'XXL-Plus  62 x 80 - Case of 48']",TRUE,Type
5148648,https://www.indemedical.com/Tranquility-Premium-OverNight-Disposable-Absorbent-Underwear_p_3449.html,bag xl dau,N/A,N/A,"['Ordering Options', 'XSmall   17 x 28 - Pack of 22', 'Small  22 x 36 - Pack of 20', 'Medium  34 x 48 - Pack of 18', 'Large  44 x 54 - Pack of 16', 'XLarge  48 x 66 - Pack of 14', 'XXL-Plus  62 x 80 - Pack of 12', 'XSmall  17 x 28 - Case of 88', 'Small  22 x 36 - Case of 80', 'Medium  34 x 48 - Case of 72', 'Large  44 x 54 - Case of 64', 'XLarge  48 x 66 - Case of 56', 'XXL-Plus  62 x 80 - Case of 48']",FALSE,Type
5201517,https://www.indemedical.com/Tranquility-ATN-All-Through-the-Night-Disposable-Briefs_p_3448.html,all throughthenight bag xsm brief,all throughthenight bag xsm brief,Small (24 x 32) Case of 100,"['Ordering Options', 'X-small (18 x 26) Pack of 10', 'Small (24 x 32) Pack of 10', 'Medium (32 x 44) Pack of 12', 'Large (45 x 58) Pack of 12', 'X-large (56 x 64) Pack of 12', 'X-small (18 x 26) Case of 100', 'Small (24 x 32) Case of 100', 'Medium (32 x 44) Case of 96', 'Large (45 x 58) Case of 96', 'X-large (56 x 64) Case of 72']",TRUE,Type
5201517,https://www.indemedical.com/Tranquility-ATN-All-Through-the-Night-Disposable-Briefs_p_3448.html,Tranquility All-through-the-night (ATN) Brief - XSM (Bag),N/A,N/A,N/A,cannot add parameter,N/A
5207085,https://www.indemedical.com/Tranquility-ATN-All-Through-the-Night-Disposable-Briefs_p_3448.html,throughthenight brief sm bag all,throughthenight brief sm bag all,Small (24 x 32) Case of 100,"['Ordering Options', 'X-small (18 x 26) Pack of 10', 'Small (24 x 32) Pack of 10', 'Medium (32 x 44) Pack of 12', 'Large (45 x 58) Pack of 12', 'X-large (56 x 64) Pack of 12', 'X-small (18 x 26) Case of 100', 'Small (24 x 32) Case of 100', 'Medium (32 x 44) Case of 96', 'Large (45 x 58) Case of 96', 'X-large (56 x 64) Case of 72']",TRUE,Type
5207089,https://www.indemedical.com/Tranquility-ATN-All-Through-the-Night-Disposable-Briefs_p_3448.html,throughthenight brief sm case all,throughthenight brief sm case all,X-large (56 x 64) Case of 72,"['Ordering Options', 'X-small (18 x 26) Pack of 10', 'Small (24 x 32) Pack of 10', 'Medium (32 x 44) Pack of 12', 'Large (45 x 58) Pack of 12', 'X-large (56 x 64) Pack of 12', 'X-small (18 x 26) Case of 100', 'Small (24 x 32) Case of 100', 'Medium (32 x 44) Case of 96', 'Large (45 x 58) Case of 96', 'X-large (56 x 64) Case of 72']",TRUE,Type
5223406,https://www.indemedical.com/Tranquility-ATN-All-Through-the-Night-Disposable-Briefs_p_3448.html,throughthenight brief med bag all,throughthenight brief med bag all,Small (24 x 32) Case of 100,"['Ordering Options', 'X-small (18 x 26) Pack of 10', 'Small (24 x 32) Pack of 10', 'Medium (32 x 44) Pack of 12', 'Large (45 x 58) Pack of 12', 'X-large (56 x 64) Pack of 12', 'X-small (18 x 26) Case of 100', 'Small (24 x 32) Case of 100', 'Medium (32 x 44) Case of 96', 'Large (45 x 58) Case of 96', 'X-large (56 x 64) Case of 72']",TRUE,Type
5223416,https://www.indemedical.com/Tranquility-ATN-All-Through-the-Night-Disposable-Briefs_p_3448.html,throughthenight brief med case all,throughthenight brief med case all,X-large (56 x 64) Case of 72,"['Ordering Options', 'X-small (18 x 26) Pack of 10', 'Small (24 x 32) Pack of 10', 'Medium (32 x 44) Pack of 12', 'Large (45 x 58) Pack of 12', 'X-large (56 x 64) Pack of 12', 'X-small (18 x 26) Case of 100', 'Small (24 x 32) Case of 100', 'Medium (32 x 44) Case of 96', 'Large (45 x 58) Case of 96', 'X-large (56 x 64) Case of 72']",TRUE,Type
5281041,https://www.indemedical.com/Tranquility-ATN-All-Through-the-Night-Disposable-Briefs_p_3448.html,lg throughthenight brief bag all,lg throughthenight brief bag all,Small (24 x 32) Case of 100,"['Ordering Options', 'X-small (18 x 26) Pack of 10', 'Small (24 x 32) Pack of 10', 'Medium (32 x 44) Pack of 12', 'Large (45 x 58) Pack of 12', 'X-large (56 x 64) Pack of 12', 'X-small (18 x 26) Case of 100', 'Small (24 x 32) Case of 100', 'Medium (32 x 44) Case of 96', 'Large (45 x 58) Case of 96', 'X-large (56 x 64) Case of 72']",TRUE,Type
5281043,https://www.indemedical.com/Tranquility-ATN-All-Through-the-Night-Disposable-Briefs_p_3448.html,lg throughthenight brief case all,lg throughthenight brief case all,X-large (56 x 64) Case of 72,"['Ordering Options', 'X-small (18 x 26) Pack of 10', 'Small (24 x 32) Pack of 10', 'Medium (32 x 44) Pack of 12', 'Large (45 x 58) Pack of 12', 'X-large (56 x 64) Pack of 12', 'X-small (18 x 26) Case of 100', 'Small (24 x 32) Case of 100', 'Medium (32 x 44) Case of 96', 'Large (45 x 58) Case of 96', 'X-large (56 x 64) Case of 72']",TRUE,Type
5325234,https://www.indemedical.com/Tranquility-ATN-All-Through-the-Night-Disposable-Briefs_p_3448.html,xl throughthenight brief bag all,xl throughthenight brief bag all,Small (24 x 32) Case of 100,"['Ordering Options', 'X-small (18 x 26) Pack of 10', 'Small (24 x 32) Pack of 10', 'Medium (32 x 44) Pack of 12', 'Large (45 x 58) Pack of 12', 'X-large (56 x 64) Pack of 12', 'X-small (18 x 26) Case of 100', 'Small (24 x 32) Case of 100', 'Medium (32 x 44) Case of 96', 'Large (45 x 58) Case of 96', 'X-large (56 x 64) Case of 72']",TRUE,Type
5325251,https://www.indemedical.com/Tranquility-ATN-All-Through-the-Night-Disposable-Briefs_p_3448.html,xl throughthenight brief case all,xl throughthenight brief case all,X-large (56 x 64) Case of 72,"['Ordering Options', 'X-small (18 x 26) Pack of 10', 'Small (24 x 32) Pack of 10', 'Medium (32 x 44) Pack of 12', 'Large (45 x 58) Pack of 12', 'X-large (56 x 64) Pack of 12', 'X-small (18 x 26) Case of 100', 'Small (24 x 32) Case of 100', 'Medium (32 x 44) Case of 96', 'Large (45 x 58) Case of 96', 'X-large (56 x 64) Case of 72']",TRUE,Type
5325251,https://www.indemedical.com/Tranquility-ATN-All-Through-the-Night-Disposable-Briefs_p_3448.html,Tranquility All-through-the-night (ATN) Brief - XL (Case),N/A,N/A,N/A,cannot add parameter,N/A
5325251,https://www.indemedical.com/Tranquility-ATN-All-Through-the-Night-Disposable-Briefs_p_3448.html,case throughthenight all brief xl,case throughthenight all brief xl,X-large (56 x 64) Case of 72,"['Ordering Options', 'X-small (18 x 26) Pack of 10', 'Small (24 x 32) Pack of 10', 'Medium (32 x 44) Pack of 12', 'Large (45 x 58) Pack of 12', 'X-large (56 x 64) Pack of 12', 'X-small (18 x 26) Case of 100', 'Small (24 x 32) Case of 100', 'Medium (32 x 44) Case of 96', 'Large (45 x 58) Case of 96', 'X-large (56 x 64) Case of 72']",TRUE,Type
9104598,http://www.indemedical.com/Top-End-Pro-BB-Wheelchair_p_966.html,bb,N/A,N/A,"['Upholstery Colors', 'Black', 'Digital Desert Camouflage', 'Woodland Camouflage']",FALSE,Upholstery Colors
9104598,http://www.indemedical.com/Top-End-Pro-BB-Wheelchair_p_966.html,bb,N/A,N/A,"['Frame Colors', 'Wet Black', 'Black Prism', 'White Snow', 'Silver Metallic', 'Stealth Black', 'Electric Blue', 'Midnight Blue', 'Grasshopper Green', 'Tangerine Red', 'Grape Madness', 'Electric Red', 'Safety Yellow', 'Sunkissed Orange', 'Bubblegum Pink']",FALSE,Frame Colors
9104598,http://www.indemedical.com/Top-End-Pro-BB-Wheelchair_p_966.html,bb,N/A,N/A,"['Seat Width', '12 Seat Width', '13 Seat Width', '14 Seat Width', '15 Seat Width', '16 Seat Width', '17 Seat Width', '18 Seat Width', '19 Seat Width', '20 Seat Width']",FALSE,Seat Width
9104598,http://www.indemedical.com/Top-End-Pro-BB-Wheelchair_p_966.html,bb,N/A,N/A,"['Seat Depth', '12” Seat Depth', '13” Seat Depth', '14” Seat Depth', '15” Seat Depth', '16” Seat Depth', '17” Seat Depth', '18” Seat Depth']",FALSE,Seat Depth
9104598,http://www.indemedical.com/Top-End-Pro-BB-Wheelchair_p_966.html,bb,N/A,N/A,"['Adjustable Frame Height', 'Tall', 'Short']",FALSE,Adjustable Frame Height
9104598,http://www.indemedical.com/Top-End-Pro-BB-Wheelchair_p_966.html,bb,N/A,N/A,"['Footrest', 'Platform Footrest with Velcro strap', 'Footrest Click Strap Upgrade']",FALSE,Footrest
9104598,http://www.indemedical.com/Top-End-Pro-BB-Wheelchair_p_966.html,bb,N/A,N/A,"['Axle Position', 'Adjustable Axle Position: 3.5 - 6']",FALSE,Axle Position
9104598,http://www.indemedical.com/Top-End-Pro-BB-Wheelchair_p_966.html,bb,N/A,N/A,"['Wheel Base', '15 (Short)', '17 (Medium)', '19 (Long)']",FALSE,Wheel Base
9104598,http://www.indemedical.com/Top-End-Pro-BB-Wheelchair_p_966.html,bb,N/A,N/A,"['Anti-Tip /5th Wheel', 'Fixed Single Anti-tip', 'Double Anti-tip (swivel)  Aluminum']",FALSE,Anti-Tip/5th Wheel
9104598,http://www.indemedical.com/Top-End-Pro-BB-Wheelchair_p_966.html,bb,N/A,N/A,"['Camber', '15 Degree', '18 Degree', '20 Degree']",FALSE,Camber
9104598,http://www.indemedical.com/Top-End-Pro-BB-Wheelchair_p_966.html,bb,N/A,N/A,"['Rear Wheel Sizes', '24 (540) Rear Wheel Size', '25 (559) Rear Wheel Size', '26 (590) Rear Wheel Size']",FALSE,Size
9104598,http://www.indemedical.com/Top-End-Pro-BB-Wheelchair_p_966.html,bb,N/A,N/A,"['Rear Wheel Options', 'Sun Performance Wheels', 'Spinergy Spox (3mm) 24 Spokes - Black', 'Spinergy Spox (3mm) 24 Spokes - Yellow', 'Spinergy Spox (3mm) 24 Spokes - White', 'Spinergy Spox (3mm) 24 Spokes - Red', 'Spinergy Spox (3mm) 24 Spokes - Blue', 'Spinergy SLX (4mm) 24 Spokes - Black', 'Spinergy SLX (4mm) 24 Spokes - Yellow', 'Spinergy SLX (4mm) 24 Spokes - White', 'Spinergy SLX (4mm) 24 Spokes - Red', 'Spinergy SLX (4mm) 24 Spokes - Blue', 'Sun Equalizer Sport Upgrade']",FALSE,Rear Wheel
9104598,http://www.indemedical.com/Top-End-Pro-BB-Wheelchair_p_966.html,bb,N/A,N/A,"['Kenda Tire Options', 'Red', 'Yellow']",FALSE,Kenda Tire
9104598,http://www.indemedical.com/Top-End-Pro-BB-Wheelchair_p_966.html,bb,N/A,N/A,"['Spokeguards', 'Clear', 'Black']",FALSE,Spokeguards
9104598,http://www.indemedical.com/Top-End-Pro-BB-Wheelchair_p_966.html,bb,N/A,N/A,"['Pushrims  Anodized (Aluminum)', 'Standard Mount', 'Close Mount']",FALSE,"Pushrims, Anodized (Aluminum)"
9104598,http://www.indemedical.com/Top-End-Pro-BB-Wheelchair_p_966.html,bb,N/A,N/A,"['Back Height', 'Non-folding  Adjustable Angle  Fixed Backrest - Short 9”-11”', 'Non-folding  Adjustable Angle  Fixed Backrest - Low 11”-14”', 'Non-folding  Adjustable Angle  Fixed Backrest - Medium 14”-18”', 'Folding Back - Short 9-11', 'Folding Back - - Low 11”-14', 'Folding Back - Medium 14”-18”']",FALSE,Back Height
9104598,http://www.indemedical.com/Top-End-Pro-BB-Wheelchair_p_966.html,bb,N/A,N/A,"['Side Guards', 'Omit', 'Clamp-On Fixed Aluminum Side Guards', 'Fold-In Aluminum Side Guards']",FALSE,Side Guards
9104598,http://www.indemedical.com/Top-End-Pro-BB-Wheelchair_p_966.html,bb,N/A,N/A,"['2” Soft Foam Cushion', '3” Soft Foam Cushion', '2” Hard Foam Cushion', '3” Hard Foam Cushion', '4” Hard Foam Cushion', 'Frame Protectors - Rear', 'Click Strap  Large (pad length 12)', 'Click Strap  Medium (pad length 10)', 'Click Strap  Small (pad length 8)', 'Positioning Strap - Hook & Loop', 'D-Ring Positioning Belt']",FALSE,Safety and Comfort
9104873,http://www.indemedical.com/The-Patriot-Portable-Pool-Lift_p_2636.html,12pplhd (f,N/A,N/A,"['Lift Options', 'with Ballast System', 'with Concrete System']",FALSE,Lift
9104873,http://www.indemedical.com/The-Patriot-Portable-Pool-Lift_p_2636.html,12pplhd (f,N/A,N/A,"['Add-ons', 'Upgrade Pack']",FALSE,Add-ons
9105062,http://www.indemedical.com/JAY-GS-Cushion_p_1999.html,jaygs,N/A,N/A,"['Size Options:', '10 x 10-13', '12 x 12-15', '14 x 14-17', '16 x 16-19', '18 x 17-20']",FALSE,Size
9105062,http://www.indemedical.com/JAY-GS-Cushion_p_1999.html,jaygs,N/A,N/A,"['Fluid Fluid', 'Pressure Relieving Pressure Relieving']",FALSE,Pad
9105062,http://www.indemedical.com/JAY-GS-Cushion_p_1999.html,jaygs,N/A,N/A,"['Incontinence Incontinence', 'Air Exchange Air Exchange']",FALSE,Cover
9105093,http://www.indemedical.com/JAY-Basic-Back_p_2005.html,,N/A,N/A,"['Size Options:', '14 x 16', '14 x 18', '14 x 20', '16 x 16', '16 x 18', '16 x 20', '18 x 16', '18 x 18', '18 x 20', '20 x 16', '20 x 18', '20 x 20']",FALSE,Size
9105093,http://www.indemedical.com/JAY-Basic-Back_p_2005.html,,N/A,N/A,"['Fixed Strap Fixed Strap', 'Fixed Clamp Fixed Clamp']",FALSE,Hardware
9105150,http://www.indemedical.com/JAY-Zip-Back_p_2018.html,back,N/A,N/A,"['Width:', '8', '10', '12', '14']",FALSE,Width
9105150,http://www.indemedical.com/JAY-Zip-Back_p_2018.html,back,N/A,N/A,"['Height:', '6', '8', '10', '12']",FALSE,Height
9110916,http://www.indemedical.com/PVI-Anit-Slip-Multifold-Wheelchair-Ramps_p_1355.html,tape traction 5' wcr530,tape traction 5' wcr530,Ordering Options:,"['Ordering Options:', ""5' L x 30 W (30 lbs)"", ""6' L x 30 W (35 lbs)"", ""7' L x 30 W (39 lbs)"", ""8' L x 30 W (52 lbs)"", ""10' L x 30 W (63 lbs)"", ""12' L x 30 W (73 lbs)""]",TRUE,Type
9112489,http://www.indemedical.com/Convaid-Cruiser-Classic-Stroller_p_2372.html,classic,N/A,N/A,"['Seat Width', '10', '12', '14', '16', '18']",FALSE,Seat Width
9112489,http://www.indemedical.com/Convaid-Cruiser-Classic-Stroller_p_2372.html,classic,N/A,N/A,"['Upholstery Color:', 'Navy Blue', 'Ocean Blue', 'Purple', 'Raspberry', 'Teal']",FALSE,Upholstery Color
9112489,http://www.indemedical.com/Convaid-Cruiser-Classic-Stroller_p_2372.html,classic,N/A,N/A,"['Frame Options', 'Anatomic Back', 'Telescoping Handles Anatomic - 4 (Pair)', 'Telescoping Handles Straight - 4 (Pair)']",FALSE,Frame
9112489,http://www.indemedical.com/Convaid-Cruiser-Classic-Stroller_p_2372.html,classic,N/A,N/A,"['Pelvis Positioning', 'Align Cushion - Lateral Pelvis  / Lateral Thigh Sup (Solid Seat Insert Required)', 'Pelvis Positioning', 'Support Cushion - (Solid Seat Insert Required)', 'Solid Seat Insert (Required with Seat Cushion)', '3-Pt Postion Belt w / Depth Adj Crotch Strap', 'Heavy Duty Reinforced Upholstery']",FALSE,Pelvis Positioning
9112489,http://www.indemedical.com/Convaid-Cruiser-Classic-Stroller_p_2372.html,classic,N/A,N/A,"['Foot & Leg Positioning', 'Angle Adjustable Footplates (Pair)', 'Calf Panel', 'Foot Positioner - Small 7 - 10', 'Foot Positioner - Medium 8 - 11', 'Foot Positioner - Large 9 - 12', 'Footplate Securement Strap', 'Lateral Thigh Support (Adductor)', 'Medial Thigh Support (Abductor)']",FALSE,Foot &amp; Leg Positioning
9112489,http://www.indemedical.com/Convaid-Cruiser-Classic-Stroller_p_2372.html,classic,N/A,N/A,"['Trunk Positioning', 'Full Torso Swing-Away Support Vest', 'H-Harness with Padded Covers ( 3-Pt Positioning Belt Req )', 'Reducer Seat Insert', 'SA Adj. Lateral Support (double flap) with Scoli Strap', 'SA Adj. Lateral Support (single flap) with Scoli Strap']",FALSE,Trunk Positioning&nbsp;
9112489,http://www.indemedical.com/Convaid-Cruiser-Classic-Stroller_p_2372.html,classic,N/A,N/A,"['Head Supports', 'Headrest Extension', 'Occi Headwings', 'Padded Headwings']",FALSE,Head Supports
9112489,http://www.indemedical.com/Convaid-Cruiser-Classic-Stroller_p_2372.html,classic,N/A,N/A,"['Tire Options', '11 Rear Solid Tire']",FALSE,Tire
9112489,http://www.indemedical.com/Convaid-Cruiser-Classic-Stroller_p_2372.html,classic,N/A,N/A,"['Accessories', 'Clear Tray w /Hardware Attachment - Upper Extremity Support Surface', 'Headrest Cover (Canopy)', 'Saddle Bags (pair)', 'Travel Bag', 'Under Seat Storage Basket', 'Utility Bag - Small', 'Utility Bag - Large', 'Wheelchair Curb Tipper']",FALSE,Accessories
9112508,http://www.indemedical.com/Convaid-Rodeo-Tilt--RD16T_p_993.html,,N/A,N/A,"['Seat Width', '10 W', '12 W', '14 W', '16 W']",FALSE,Seat Width
9112508,http://www.indemedical.com/Convaid-Rodeo-Tilt--RD16T_p_993.html,,N/A,N/A,"['Upholstery Color', 'Cordura - Black', 'Cordura - Blue', 'Cordura - Forest Green', 'Cordura - Pink', 'Cordura - Purple', 'Cordura - Red']",FALSE,Upholstery Color
9112508,http://www.indemedical.com/Convaid-Rodeo-Tilt--RD16T_p_993.html,,N/A,N/A,"['Pelvis Options:', 'Align Seat Cushion: Lateral Pelvis  / Lateral Thigh Sup (Solid Seat Insert Required)', 'Position Seat Cushion: Medial Thigh Sup  / Anti-Thrust (Solid Seat Insert Required)', 'Support Seat Cushion (Solid Seat Insert Required)', '+ Solid Seat Insert (Required with Seat Cushion)', '3-Pt Postion Belt w / Depth Adj Crotch Strap']",FALSE,Pelvis
9112508,http://www.indemedical.com/Convaid-Rodeo-Tilt--RD16T_p_993.html,,N/A,N/A,"['Foot & Leg', '2 Legrest Extensions', 'Calf Panel', 'Small Foot Positioner: 7-10', 'Medium Foot Positioner: 8-11', 'Large Foot Positioner: 9-12', 'Lateral Thigh Support (Adductor)', 'Medial Thigh Support (Abductor)']",FALSE,Foot &amp; Leg
9112508,http://www.indemedical.com/Convaid-Rodeo-Tilt--RD16T_p_993.html,,N/A,N/A,"['Trunk Options', 'Full Torso Swing-Away Support Vest', 'H-Harness with Padded Covers ( 3-Pt Positioning Belt Req)', 'Left Firm Lateral Trunk Support-Contoured (Hardware Req)', 'Left S /A Adj. Hardware for Lateral Firm Trunk Support', 'Reducer Seat Insert', 'Right Firm Lateral Trunk Support-Contoured (Hardware Req)', 'Right S /A Adj. Hardware for Lateral Firm Trunk Support']",FALSE,Trunk
9112508,http://www.indemedical.com/Convaid-Rodeo-Tilt--RD16T_p_993.html,,N/A,N/A,"['Head Supports', 'Headrest Extension - Curved - Cordura', 'Occi Headwings', 'Padded Headwings']",FALSE,Head Supports
9112508,http://www.indemedical.com/Convaid-Rodeo-Tilt--RD16T_p_993.html,,N/A,N/A,"['Frame', 'Height Adjustable Flip-Up Armrests (pair)', 'Mesh Side Panels', 'Recline Option', 'Solid Side Panels']",FALSE,Frame
9112508,http://www.indemedical.com/Convaid-Rodeo-Tilt--RD16T_p_993.html,,N/A,N/A,"['Tire Options', '12.5 Rear Solid Knobby Tire (pair)', '.5 x 2 Front  12.5 x 2.5 Rear Pneumatic Knobby Tires (4 Wheel Package)']",FALSE,Tire
9112508,http://www.indemedical.com/Convaid-Rodeo-Tilt--RD16T_p_993.html,,N/A,N/A,"['Clear Tray Upper Extremity Support Surface ( Clear Tray Attachment Hardware Req )', '+ Clear Tray Attachement Hardware', 'Attendant Hand Brakes (pair)', 'Caster Lock (Available on 2 wide tires only)- RD', 'Extended Headrest Cover - no windows (Canopy)', 'Extended Headrest Cover - with Side Windows (Canopy)', 'Headrest Cover (Canopy)', 'Heavy-Duty Medical Necessity Storage Tray', 'Medical Necessity Storage Basket- RD', 'Mosquito Net', 'Oxygen Tank Bag', 'Rain Cover', 'Rear Anti-Tip Tubes', 'Under Seat Storage Basket', 'Utility Bag']",FALSE,Accessories
9112702,http://www.indemedical.com/Quickie-QRi_p_2437.html,eir5,N/A,N/A,"['Frame Angle', '75°', '80°', '85°']",FALSE,Frame Angle
9112702,http://www.indemedical.com/Quickie-QRi_p_2437.html,eir5,N/A,N/A,"['Frame Color', 'Black', 'Black Opal', 'Blue Opal', 'Candy Blue', 'Candy Red']",FALSE,Frame Color
9112702,http://www.indemedical.com/Quickie-QRi_p_2437.html,eir5,N/A,N/A,"['Frame Inset Per Side', '0', '1 (NA w / 12 wide)']",FALSE,Frame Inset Per Side
9112702,http://www.indemedical.com/Quickie-QRi_p_2437.html,eir5,N/A,N/A,"['Seat Width', '12', '13', '14', '15', '16', '17', '18', '19', '20']",FALSE,Seat Width
9112702,http://www.indemedical.com/Quickie-QRi_p_2437.html,eir5,N/A,N/A,"['Seat Depth', '12', '13', '14', '15', '16', '17', '18', '19', '20']",FALSE,Seat Depth
9112702,http://www.indemedical.com/Quickie-QRi_p_2437.html,eir5,N/A,N/A,"['Front Seat Height', '15.0', '15.5', '16.0', '16.5', '17.0', '17.5', '18.0', '18.5', '19.0', '19.5', '20.0']",FALSE,Front Seat Height
9112702,http://www.indemedical.com/Quickie-QRi_p_2437.html,eir5,N/A,N/A,"['Caster Wheels', '4 Low Profile Polyurethane', '4 x 1.25 Semi Pneumatic', '4 x 1.5 Aluminum Soft Rol', '5 Low Profile Polyurethane', '5x 1 Aluminum Polyurethane', '5x 1.5 Semi Pneumatic', 'x 1.5 Aluminum Soft Roll', '6 Polyurethane', '6x 1.5 Semi Pneumatic', '6x 1.5 Aluminum Soft Roll']",FALSE,Caster Wheels
